Author,"Purdom, Tom, 1936-"
Illustrator,"Wood, Wallace, 1927-1981"
Title,Sordman the Protector
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Detective and mystery stories, Murder -- Fiction, Parapsychology -- Fiction"
Category,Text
EBook-No.,51445
Release Date,"Mar 14, 2016"
Copyright Status,Public domain in the USA.
Downloads,33 downloads in the last 30 days.
Price,$0.00
