Author,"Fyfe, H. B. (Horace Bowne), 1918-1997"
Title,D-99: a science-fiction novel
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Extraterrestrial beings -- Fiction"
Category,Text
EBook-No.,51866
Release Date,"Apr 26, 2016"
Copyright Status,Public domain in the USA.
Downloads,106 downloads in the last 30 days.
Price,$0.00
