Author,"Bower, B. M., 1871-1940"
Illustrator,"Fischer, Anton Otto, 1882-1962"
Title,The Quirt
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Western stories
Category,Text
EBook-No.,19166
Release Date,"Sep 3, 2006"
Copyright Status,Public domain in the USA.
Downloads,58 downloads in the last 30 days.
Price,$0.00
