Author,"Grey, Zane, 1872-1939"
Title,The Last Trail
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Women pioneers -- Fiction, Frontier and pioneer life -- Fiction, Zane, Betty -- Fiction, Wetzel, Lewis, 1763-1808 -- Fiction, Indians of North America -- Wars -- 1750-1815 -- Fiction, Scouting (Reconnaissance) -- Fiction, Fort Henry (W. Va.) -- Fiction, Ohio River Valley -- Fiction"
Category,Text
EBook-No.,9932
Release Date,"Feb 1, 2006"
Copyright Status,Public domain in the USA.
Downloads,117 downloads in the last 30 days.
Price,$0.00
