Author,"Norton, Andre, 1912-2005"
LoC No.,61006657
Title,"Ride Proud, Rebel!"
Language,English
LoC Class,PZ: Language and Literatures: Juvenile belles lettres
Subject,"United States -- History -- Civil War, 1861-1865 -- Juvenile fiction"
Category,Text
EBook-No.,23624
Release Date,"Nov 26, 2007"
Copyright Status,Public domain in the USA.
Downloads,75 downloads in the last 30 days.
Price,$0.00
