Author,"Grey, Zane, 1872-1939"
Title,The Last of the Plainsmen
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Western stories, Biographical fiction, Pioneers -- Fiction, Jones, Charles Jesse, 1844-1919 -- Fiction"
Category,Text
EBook-No.,2057
Release Date,"Feb 1, 2000"
Copyright Status,Public domain in the USA.
Downloads,81 downloads in the last 30 days.
Price,$0.00
