Author,"Herford, Oliver, 1863-1935"
Title,The Rubáiyát of a Persian Kitten
Note,Illustrated by the author.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Omar Khayyam -- Parodies, imitations, etc., Humorous poetry, Persian cat -- Poetry, Cats -- Poetry"
Category,Text
EBook-No.,24258
Release Date,"Jan 12, 2008"
Copyright Status,Public domain in the USA.
Downloads,46 downloads in the last 30 days.
Price,$0.00
