Author,"Dunne, Finley Peter, 1867-1936"
Title,Mr. Dooley: In the Hearts of His Countrymen
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Humorous stories, American, Irish Americans -- Fiction, Dooley, Mr. (Fictitious character) -- Fiction"
Category,Text
EBook-No.,13784
Release Date,"Oct 18, 2004"
Copyright Status,Public domain in the USA.
Downloads,82 downloads in the last 30 days.
Price,$0.00
