Author,"Bierce, Ambrose, 1842-1914?"
Title,The Devil's Dictionary
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"English language -- Dictionaries -- Humor, English language -- Semantics -- Humor, Vocabulary -- Humor"
Category,Text
EBook-No.,972
Release Date,"Jul 1, 1997"
Copyright Status,Public domain in the USA.
Downloads,6214 downloads in the last 30 days.
Price,$0.00
