Author,"Harrison, Charles, -1943"
Title,A Humorous History of England
Language,English
LoC Class,"NC: Fine Arts: Drawing, Design, Illustration, PR: Language and Literatures: English literature"
Subject,"Caricatures and cartoons -- Great Britain, English wit and humor, Humorous poetry, Great Britain -- History -- Humor"
Category,Text
EBook-No.,26388
Release Date,"Aug 22, 2008"
Copyright Status,Public domain in the USA.
Downloads,41 downloads in the last 30 days.
Price,$0.00
