Author,"Marsh, A."
Dubious author,"Behn, Aphra, 1640-1689"
Editor,"Harvey, John, 1938-"
Title,"The Ten Pleasures of Marriageand the Second Part, The Confession of the New Married Couple"
Note,Attributed to Aphra Behn
Language,English
LoC Class,"HQ: Social sciences: The family, Marriage, Sex and Gender"
Subject,Marriage
Category,Text
EBook-No.,13872
Release Date,"Oct 26, 2004"
Copyright Status,Public domain in the USA.
Downloads,62 downloads in the last 30 days.
Price,$0.00
