Author,"Streeter, Edward, 1891-1976"
Illustrator,"Breck, G. William (George William), 1863-1920"
Title,Dere Mable: Love Letters of a Rookie
Language,English
LoC Class,D501: History: General and Eastern Hemisphere: World War I (1914-1918)
Subject,"World War, 1914-1918 -- Humor, caricatures, etc."
Category,Text
EBook-No.,13993
Release Date,"Nov 9, 2004"
Copyright Status,Public domain in the USA.
Downloads,25 downloads in the last 30 days.
Price,$0.00
