Author,"Bangs, John Kendrick, 1862-1922"
Title,The Idiot
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Humorous stories, Conversation -- Fiction, Boardinghouses -- Fiction"
Category,Text
EBook-No.,18881
Release Date,"Jul 20, 2006"
Copyright Status,Public domain in the USA.
Downloads,28 downloads in the last 30 days.
Price,$0.00
