Author,"Bangs, John Kendrick, 1862-1922"
Title,The Pursuit of the House-Boat
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Holmes, Sherlock (Fictitious character) -- Fiction, Fantasy fiction, Doyle, Arthur Conan, 1859-1930 -- Parodies, imitations, etc."
Category,Text
EBook-No.,3169
Release Date,"Apr 1, 2002"
Copyright Status,Public domain in the USA.
Downloads,42 downloads in the last 30 days.
Price,$0.00
