Author,"Verne, Jules, 1828-1905"
Title,Around the World in Eighty Days
Alternate Title,Around the World in 80 Days
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Adventure stories, Voyages around the world -- Fiction"
Category,Text
EBook-No.,103
Release Date,"Jan 1, 1994"
Copyright Status,Public domain in the USA.
Downloads,3907 downloads in the last 30 days.
Price,$0.00
