Author,"Dumas, Alexandre, 1802-1870"
Uniform Title,Vingt ans après. English
Title,Twenty Years After
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"France -- History -- Louis XIV, 1643-1715 -- Fiction"
Category,Text
EBook-No.,1259
Release Date,"Mar 1, 1998"
Copyright Status,Public domain in the USA.
Downloads,433 downloads in the last 30 days.
Price,$0.00
