Author,"Mundy, Talbot, 1879-1940"
Title,The Lion of Petra
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,Middle East -- Fiction
Category,Text
EBook-No.,19307
Release Date,"Sep 17, 2006"
Copyright Status,Public domain in the USA.
Downloads,51 downloads in the last 30 days.
Price,$0.00
