Author,"London, Jack, 1876-1916"
Title,White Fang
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Wolfdogs -- Fiction, Adventure stories, Canada, Northern -- Fiction"
Category,Text
EBook-No.,910
Release Date,"May 1, 1997"
Copyright Status,Public domain in the USA.
Downloads,3168 downloads in the last 30 days.
Price,$0.00
