Author,"Hope, Anthony, 1863-1933"
Title,"Rupert of Hentzau: From The Memoirs of Fritz Von TarlenheimSequel to The Prisoner of Zenda"
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Impostors and imposture -- Fiction, Adventure stories, British -- Foreign countries -- Fiction"
Category,Text
EBook-No.,1145
Release Date,"Dec 1, 1997"
Copyright Status,Public domain in the USA.
Downloads,116 downloads in the last 30 days.
Price,$0.00
