Author,"Kafka, Franz, 1883-1924"
Translator,"Wyllie, David (Translator)"
Title,The Trial
Language,English
LoC Class,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures"
Subject,Social problems -- Fiction
Category,Text
EBook-No.,7849
Release Date,"Apr 1, 2005"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,2140 downloads in the last 30 days.
Price,$0.00
