Author,"O'Donnell, Elliott, 1872-1965"
Title,"Animal Ghosts; Or, Animal Hauntings and the Hereafter"
Language,English
LoC Class,"BF: Philosophy, Psychology, Religion: Psychology, Philosophy, Psychoanalysis"
Subject,"Animal ghosts, Extrasensory perception in animals"
Category,Text
EBook-No.,18233
Release Date,"Apr 23, 2006"
Copyright Status,Public domain in the USA.
Downloads,111 downloads in the last 30 days.
Price,$0.00
