Author,"O'Donnell, Elliott, 1872-1965"
LoC No.,12009924
Title,Scottish Ghost Stories
Language,English
LoC Class,"BF: Philosophy, Psychology, Religion: Psychology, Philosophy, Psychoanalysis"
Subject,"Folklore -- Scotland, Ghost stories, Scottish"
Category,Text
EBook-No.,20034
Release Date,"Dec 7, 2006"
Copyright Status,Public domain in the USA.
Downloads,160 downloads in the last 30 days.
Price,$0.00
