Author,"Stoker, Bram, 1847-1912"
Title,The Man
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"England -- Fiction, Gothic fiction"
Category,Text
EBook-No.,2520
Release Date,"Feb 1, 2001"
Copyright Status,Public domain in the USA.
Downloads,110 downloads in the last 30 days.
Price,$0.00
