Author,"Bierce, Ambrose, 1842-1914?"
Title,An Occurrence at Owl Creek Bridge
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Short stories, United States -- History -- Civil War, 1861-1865 -- Fiction, Prisoners -- Fiction"
Category,Text
EBook-No.,375
Release Date,"Dec 1, 1995"
Copyright Status,Public domain in the USA.
Downloads,4796 downloads in the last 30 days.
Price,$0.00
