Author,"Poe, Edgar Allan, 1809-1849"
Title,The Works of Edgar Allan Poe — Volume 5
Contents,Philosophy of furniture -- A tale of Jerusalem -- The Sphinx -- Hop-Frog -- The man of the crowd -- Never bet the Devil your head -- Thou art the man -- Why the little Frenchman wears his hand in a sling -- Bon-Bon -- Some words with a mummy -- The poetic principle -- Old English poetry -- Poems -- Poems of manhood -- Doubtful poems.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Fantasy fiction, American poetry, Horror tales, American, American fiction -- 19th century"
Category,Text
EBook-No.,2151
Release Date,"Apr 1, 2000"
Copyright Status,Public domain in the USA.
Downloads,699 downloads in the last 30 days.
Price,$0.00
