Author,"Poe, Edgar Allan, 1809-1849"
Title,The Works of Edgar Allan Poe — Volume 3
Contents,Narrative of A. Gordon Pym -- Ligeia -- Morella -- A tale of the Ragged Mountains -- The spectacles -- King Pest -- Three Sundays in a week.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Fantasy fiction, Horror tales, American, American fiction -- 19th century"
Category,Text
EBook-No.,2149
Release Date,"Apr 1, 2000"
Copyright Status,Public domain in the USA.
Downloads,762 downloads in the last 30 days.
Price,$0.00
