Author,"Poe, Edgar Allan, 1809-1849"
Contributor,"Lowell, James Russell, 1819-1891, Willis, Nathaniel Parker, 1806-1867"
Title,The Works of Edgar Allan Poe — Volume 1
Contents,"Edgar Allan Poe, an appreciation -- Life of Poe, by James Russell Lowell -- Death of Poe, by N. P. Willis -- The unparalleled adventures of one Hans Pfaal -- The gold-bug -- Four beasts in one -- The murders in the Rue Morgue -- The mystery of Marie Rogêt -- The balloon hoax -- MS. found in a bottle -- The oval portrait."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Fantasy fiction, Horror tales, American, American fiction -- 19th century, Poe, Edgar Allan, 1809-1849"
Category,Text
EBook-No.,2147
Release Date,"Apr 1, 2000"
Copyright Status,Public domain in the USA.
Downloads,2443 downloads in the last 30 days.
Price,$0.00
