Author,"Beckford, William, 1760-1844"
"Author of introduction, etc.","Morley, Henry, 1822-1894"
Title,The History of Caliph Vathek
Note,Translation of Vathek
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"English fiction, Gothic fiction, Arab countries -- Fiction"
Category,Text
EBook-No.,2060
Release Date,"Feb 1, 2000"
Copyright Status,Public domain in the USA.
Downloads,114 downloads in the last 30 days.
Price,$0.00
