Author,"Walpole, Horace, 1717-1797"
Editor,"Morley, Henry, 1822-1894"
Title,The Castle of Otranto
Note,First Gothic novel
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Horror tales, Inheritance and succession -- Fiction, Gothic fiction"
Category,Text
EBook-No.,696
Release Date,"Oct 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,1485 downloads in the last 30 days.
Price,$0.00
